PrimaryKey,zh-tw,en,ja
Yuzui_Name,遊穗,Yu-Zui,ゆずぃ
Aki_Name,彩希,Aki,あき
hello,早安,good Morning,おはようございます
talk_breakfast,早安，你吃早餐了嗎？,"Good morning, you eat breakfast yet?",おはよう、あなたはまだ朝食を食べますか？
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
,,#VALUE!,#VALUE!
